,,ID,,Details,Reviews,Device Name
0,,1,,"• Samsung A14 with 4GB/64GB memory.• 5000 mAh battery for long-lasting use.• 6.6' display for immersive viewing experience.• Latest Android 13 operating system.
Introducing the Samsung A14, the latest addition to the mobile phone market. With a 6.6' display, this phone is perfect for streaming your favorite shows and movies. The 5000 mAh battery ensures that you can use your phone all day without worrying about running out of charge. The phone runs on Android 13, providing a smooth and efficient user experience. The 4GB RAM and 64GB storage capacity allow you to store all your important files and documents.
Specifications of Samsung A14 4GB/64GB - 5000 mAh Battery - 6.6' Display - Android 13
Brand No Brand SKU 436839264_PK-2101404094 Protection Not Specified Year 2020 Number Of Cameras Not Specified
What’s in the box 1x Phone, 1x Charging Cable","[""Unbelievable! phone is 100 percent original and value for money, don't know how seller managed to offer the phone in such a cheap price, moreover its officially PTA approved. seller deserves 10 stars"", ""Unbelievable! phone is 100 percent original and value for money, don't know how seller managed to offer the phone in such a cheap price, moreover its officially PTA approved. seller deserves 10 stars"", ""Unbelievable! phone is 100 percent original and value for money, don't know how seller managed to offer the phone in such a cheap price, moreover its officially PTA approved. seller deserves 10 stars""]",Samsung A14 4GB/64GB - 5000 mAh Battery - 6.6' Display - Android 13
1,,2,,"Model: Apple
Model: iPhone X
Battery Health - 80+
PTA Approved
Screen: 5.8-in. Super Retina HD
Camera: 12MP Zoom 10x
Video camera: 4K Zoom 6x
Processor: A11 Bionic chip
Memory: 3GB
Battery: Lithium-ion 2716 mAh
Genuine OEM components
Certified 6 Months Daraz Warranty.
Daraz Warranty Center Location: Karachi & Lahore.
Warranty will be claimed on order number/invoice.
The phone will be dispatched in Daraz's Like New packaging.
Phone will be slightly used, ensuring its authenticity with a genuine A-grade kit.
The original box, charging cable and charging dock will not be included.
All Daraz Like New Phones are thoroughly checked by experts to ensure your product is original, has all genuine parts and is in A+ condition.
60+ Quality Check Points – International Standard Grading software, quality check report will also be sent.
Fully functional Factory Unlocked
There could be a few minimal scratches on the phone's body or screen.
Model: Apple Model: iPhone X Battery Health - 80+ PTA Approved Storage: 256 GB Screen: 5.8-in. Super Retina HD Camera: 12MP Zoom 10x Video camera: 4K Zoom 6x Processor: A11 Bionic chip Memory: 3GB Battery: Lithium-ion 2716 mAh Genuine OEM components Certified 6 Months Daraz Warranty. Daraz Warranty Center Location: Karachi & Lahore. Warranty will be claimed on order number/invoice. The phone will be dispatched in Daraz's Like New packaging. Phone will be slightly used, ensuring its authenticity with a genuine A-grade kit. The original box, charging cable and charging dock will not be included. All Daraz Like New Phones are thoroughly checked by experts to ensure your product is original, has all genuine parts and is in A+ condition. 60+ Quality Check Points – International Standard Grading software, quality check report will also be sent. Fully functional Factory Unlocked
Specifications of Like New Phones - Used Apple iPhone X - Silver 256 GB - PTA Approved
Brand Apple SKU 435087172_PK-2088535157 Storage capacity 256GB
What’s in the box 1x Used Apple iPhone X - Silver 256 GB - PTA Approved",['Received as promised almost 10/10 condition genuine phone with genuine parts no issue found. Thanks will buy again in shaa allah'],Like New Phones - Used Apple iPhone X - Silver 256 GB - PTA Approved
2,,3,,"General FeaturesRelease Date2023-09-12SIM SupportHybrid Dual SIM (Nano-SIM, dual stand-by)Phone Dimensions168.6 x 76.3 x 8.2 mmPhone Weight198.5 gOperating SystemAndroid 13, MIUI 14DisplayScreen Size6.79 InchesScreen Resolution1080 x 2460 PixelsScreen TypeIPS LCDScreen ProtectionN/AMemoryInternal Memory128 GBRAM4 GBCard SlotYesPerformanceProcessorMediatek Helio G88 (12nm) Octa-coreGPUMali-G52 MC2BatteryType5000 mAhCameraFront Camera8 MPFront Flash LightN/AFront Video RecordingYesBack Flash LightYesBack Camera50 MP + 8 MP + 2 MPBack Video RecordingYesConnectivityBluetoothYes3GYes4G/LTEYes5GNoRadioYesWiFiYesNFCYes
General Features
Release Date 2023-09-12
SIM Support Hybrid Dual SIM (Nano-SIM, dual stand-by)
Phone Dimensions 168.6 x 76.3 x 8.2 mm
Phone Weight 198.5 g
Operating System Android 13, MIUI 14
Display
Screen Size 6.79 Inches
Screen Resolution 1080 x 2460 Pixels
Screen Type IPS LCD
Screen Protection N/A
Memory
Internal Memory 128 GB
RAM 4 GB
Card Slot Yes
Performance
Processor Mediatek Helio G88 (12nm) Octa-core
GPU Mali-G52 MC2
Battery
Type 5000 mAh
Camera
Front Camera 8 MP
Front Flash Light N/A
Front Video Recording Yes
Back Flash Light Yes
Back Camera 50 MP + 8 MP + 2 MP
Back Video Recording Yes
Connectivity
Bluetooth Yes
3G Yes
4G/LTE Yes
5G No
Radio Yes
WiFi Yes
NFC Yes
Specifications of Redmi 12 || 4GB Ram 128GB Rom || 5000mAh Battery
Brand No Brand SKU 434655943_PK-2084959089 Protection Corning Gorilla Glass 1 Year 2020 Number Of Cameras 2
What’s in the box 1 Charging Adopter + 1 Data Cable + 1 Mobile Set
VIEW LESS","['very fast delivery .. seller is very good .. original product thanks alot... delivery date is 21 but i receive it on 17 .. i order in black but this is blue bcz black is not available. if you dont have so kindly mention out of stock but no problem again thnkx🥰', 'very fast delivery .. seller is very good .. original product thanks alot... delivery date is 21 but i receive it on 17 .. i order in black but this is blue bcz black is not available. if you dont have so kindly mention out of stock but no problem again thnkx🥰', 'very fast delivery .. seller is very good .. original product thanks alot... delivery date is 21 but i receive it on 17 .. i order in black but this is blue bcz black is not available. if you dont have so kindly mention out of stock but no problem again thnkx🥰']",Redmi 12 || 4GB Ram 128GB Rom || 5000mAh Battery
3,,4,,"6.5' Display, Android 12, 5000 mah battery
6.5' Display, Android 12, 5000 mah battery
Specifications of Samsung Galaxy A04e 3GB+32GB
Brand Samsung SKU 424968322_PK-2012724492 Protection Not Specified Year Not Specified Number Of Cameras Not Specified
What’s in the box 1 X MOBILE PHONE 1 X USERGUIDE 1 X CHARGER","['Both Acha phone hai tanks seller thanks daraz colour b outstanding hai use main behtreen use k bàad view dy rahe thanks again', 'Both Acha phone hai tanks seller thanks daraz colour b outstanding hai use main behtreen use k bàad view dy rahe thanks again', 'Both Acha phone hai tanks seller thanks daraz colour b outstanding hai use main behtreen use k bàad view dy rahe thanks again']",Samsung Galaxy A04e 3GB+32GB
4,,5,,"General FeaturesRelease Date2023-05-22SIM SupportDual SIM (Nano-SIM, dual stand-by)Phone Dimensions168.6 x 76.6 x 8.58 mmPhone Weight219 gOperating SystemAndroid 13DisplayScreen Size6.78 inchesScreen Resolution1080 x 2460 pixelsScreen TypeIPS LCD, 120Hz, 580 nits (peak)Screen ProtectionN/AMemoryInternal Memory128/256 GBRAM8 GBCard SlotmicroSDXC (dedicated slot)PerformanceProcessorMediatek Helio G99GPUMali-G57 MC2BatteryTypeLi-Po 5000 mAh, non-removableCameraFront Camera16 MPFront Flash LightYesFront Video Recording1080p@30fpsBack Flash LightYesBack Camera64 MP + 2 MP + AI CamBack Video Recording1440p@30fps, 1080p@30/60fpsConnectivityBluetoothYes3GYes4G/LTEYes5GNoRadioYesWiFiYesNFCYes (market/region dependent)
General Features
Release Date 2023-05-22
SIM Support Dual SIM (Nano-SIM, dual stand-by)
Phone Dimensions 168.6 x 76.6 x 8.58 mm
Phone Weight 219 g
Operating System Android 13
Display
Screen Size 6.78 inches
Screen Resolution 1080 x 2460 pixels
Screen Type IPS LCD, 120Hz, 580 nits (peak)
Screen Protection N/A
Memory
Internal Memory 128/256 GB
RAM 8 GB
Card Slot microSDXC (dedicated slot)
Performance
Processor Mediatek Helio G99
GPU Mali-G57 MC2
Battery
Type Li-Po 5000 mAh, non-removable
Camera
Front Camera 16 MP
Front Flash Light Yes
Front Video Recording 1080p@30fps
Back Flash Light Yes
Back Camera 64 MP + 2 MP + AI Cam
Back Video Recording 1440p@30fps, 1080p@30/60fps
Connectivity
VIEW MORE","['Nice product. Supplier is supportive. But not satidfied with the delivery which was very late', 'Nice product. Supplier is supportive. But not satidfied with the delivery which was very late', 'Nice product. Supplier is supportive. But not satidfied with the delivery which was very late']",INFINIX NOTE 30 - 8GB+8GB =16GB RAM 256GB ROM - 5000 mAh Battery
5,,6,,"BasicProcessorSnapdragon 680
RAM & ROM8 GB + 128 GB
Battery5000 mAh (TYP)
Charging Power44W
ColorMeteor BlackVibrant Gold
Operating SystemFuntouch OS 13 (Based on Android 13)
DisplayScreen6.64-inch
Resolution2388 × 1080 (FHD + )
TypeLCD
Touch ScreenCapacitive multi-touch
Digital CamerasCameraFront: 16 MPRear: 50 MP + 2 MP Bokeh
ApertureDual camera + Dotch displayFront f/2.45 (16 MP) / Rear f/1.8 (50 MP) + f/2.4 (2 MP)
FlashRear flash
Scene ModesPhoto, Night, Portrait, Video, High Resolution, Pano, Live Photo, Slow-Mo, Time-Lapse, Pro, Documents, Double Exposure
Basic
Processor
Snapdragon 680
RAM & ROM
8 GB + 128 GB
Battery
5000 mAh (TYP)
Charging Power
44W
Color
Meteor Black
Vibrant Gold
Operating System
Funtouch OS 13 (Based on Android 13)
Display
Screen


VIEW MORE","['thanks daraz and thanks seller. Excellent and original product timely delivered highly recommended but expecting zong 6 month internet package as shown in picture.', 'thanks daraz and thanks seller. Excellent and original product timely delivered highly recommended but expecting zong 6 month internet package as shown in picture.', 'thanks daraz and thanks seller. Excellent and original product timely delivered highly recommended but expecting zong 6 month internet package as shown in picture.']",vivo Y36 - 8GB RAM - 128GB ROM - 50 + 2 MP Rear Camera - 5000mAh Battery
6,,7,,"6.6"" HD+ IPS Display
16GB* Customizable RAM with Memory Fusion Technology
128GB ROM; Expandable upto 1TB
50MP+QVGA Super Clear Rear & 8MP Back Camera
5000mAh Battery with 10W Fast Charging Support
Photochromic Effects – Innovative Color-Changing Design
The itel S23 is a mobile phone with a 6.6"" HD+ IPS display that provides a clear and vivid visual experience. With up to 16+256GB storage, you can store all your favorite apps, photos, and videos with ease. The phone features a 50 MP AI camera that captures stunning photos and videos. The innovative color-changing design of the phone adds a unique touch to your style. The phone is powered by a 5000mAh battery that supports 10W fast charging, ensuring that you stay connected all day long. With 16GB* customizable RAM and Memory Fusion Technology, you can enjoy a seamless and smooth user experience. The phone also comes with 128GB ROM, which is expandable up to 1TB. The itel S23 is the perfect phone for those who want a stylish and powerful device that can keep up with their busy lifestyle.
Specifications of itel S23 6.6″ HD+ Display | Up to 16+256GB Storage with Memory Fusion | Color Changing Design | 50 MP AI Camera
Brand itel SKU 434062784_PK-2082218778 Protection Not Specified Screen Size (inches) 6 Inches & Above RAM Memory 16GB E-Warranty Yes Year Not Specified Number Of Cameras 2
What’s in the box 1 x mobile, 1 x adaptor, 1 x cable, 1 x mobile cover, 1 x SIM ejector pin, 1 x manual, 1 x Warranty card
VIEW LESS","['Excellent mobile in this price category reviewing after one week use.', 'Excellent mobile in this price category reviewing after one week use.', 'Excellent mobile in this price category reviewing after one week use.']",itel S23 6.6″ HD+ Display | Up to 16+256GB Storage with Memory Fusion | Color Changing Design | 50 MP AI Camera
7,,8,,"General FeaturesRelease Date2023-05-22SIM SupportDual SIM (Nano-SIM, dual stand-by)Phone Dimensions162.7 x 76 x 8.2 mmPhone Weight203 gOperating SystemAndroid 13, XOS 13DisplayScreen Size6.67 inchesScreen Resolution1080 x 2400 pixelsScreen TypeAMOLED, 1B colors, 120Hz, 900 nits (peak)Screen ProtectionN/AMemoryInternal Memory256 GBRAM8 GBCard SlotmicroSDXC (dedicated slot)PerformanceProcessorMediatek MT8781 Helio G99GPUMali-G57 MC2BatteryTypeLi-Po 5000 mAh, non-removableCameraFront Camera32 MPFront Flash LightYesFront Video Recording1080p@30fpsBack Flash LightYesBack Camera108 MP + 2 MP + 2 MPBack Video Recording1440p@30fps, 1080p@30fpsConnectivityBluetoothYes3GYes4G/LTEYes5GNoRadioYesWiFiYesNFCYes (market/region dependent)
General Features
Release Date 2023-05-22
SIM Support Dual SIM (Nano-SIM, dual stand-by)
Phone Dimensions 162.7 x 76 x 8.2 mm
Phone Weight 203 g
Operating System Android 13, XOS 13
Display
Screen Size 6.67 inches
Screen Resolution 1080 x 2400 pixels
Screen Type AMOLED, 1B colors, 120Hz, 900 nits (peak)
Screen Protection N/A
Memory
Internal Memory 256 GB
RAM 8 GB
Card Slot microSDXC (dedicated slot)
Performance
Processor Mediatek MT8781 Helio G99
GPU Mali-G57 MC2
Battery
Type Li-Po 5000 mAh, non-removable
Camera
Front Camera 32 MP
Front Flash Light Yes
Front Video Recording 1080p@30fps
Back Flash Light Yes
Back Camera 108 MP + 2 MP + 2 MP
Back Video Recording 1440p@30fps, 1080p@30fps
Connectivity
Bluetooth Yes
3G Yes
4G/LTE Yes
5G No
Radio Yes
WiFi Yes
NFC Yes (market/region dependent)
Specifications of Infinix Note 30 Pro || 8GB + 8GB Ram 256GB Rom || 5000mAh Battery
Brand No Brand SKU 434663051_PK-2087284478 Protection Corning Gorilla Glass 2 Year 2020 Number Of Cameras 2
What’s in the box 1 Mobile Phone + 1 Data Cable + 1 Charging Adopter
VIEW LESS",[],Infinix Note 30 Pro || 8GB + 8GB Ram 256GB Rom || 5000mAh Battery
8,,9,,"6.7” HD+ display: Bigger view of the things you love. Wherever, whenever.
Triple-rear and selfie cameras powered by Camera from Google: Capture breath-taking scenic views, beautiful portrait images and stellar night shots.
Comes with Android 12: More personal, secure and intuitive than ever before.
Durable, reliable and efficient: Nokia phone build-quality with IP52 ingress protection and streamlined software.
Be yourself for longer: Nokia C31 gives you the freedom to keep going from just a single charge, so you can stream, scroll, surf – you name it – for longer. It’s all thanks to 3-day battery life and AI-powered battery-saving features.
Specifications of Nokia C31 Smartphone with 6.75"" HD+ Display and 5050 mAh non-removable battery, 4GB RAM / 128GB ROM, Android 12 OS, 2 years quarterly security updates, 13MP triple rear and selfie cameras - PTA approved
Brand Nokia SKU 377709677_PK-1863875966 Protection Not Specified Year Not Specified Number Of Cameras 3
What’s in the box 1 x Charger, 1 x Headset, 1 x Jelly Case, 1 x Quick Start Guide, 1 x Safety Booklet, 1 x Micro USB Cable
VIEW LESS","['Bht acha mobile h😍hm bht khush hain itna acha r discount py mobile khareda hmny ❤️thank you so much daraz and seller 💕😍seller is really very cooperative 😍Allah apko khush rkhy amen. ❤️Jo Jo chez mentioned h description mein. Wo sb delivered hoi h😍💙', 'Bht acha mobile h😍hm bht khush hain itna acha r discount py mobile khareda hmny ❤️thank you so much daraz and seller 💕😍seller is really very cooperative 😍Allah apko khush rkhy amen. ❤️Jo Jo chez mentioned h description mein. Wo sb delivered hoi h😍💙', 'Bht acha mobile h😍hm bht khush hain itna acha r discount py mobile khareda hmny ❤️thank you so much daraz and seller 💕😍seller is really very cooperative 😍Allah apko khush rkhy amen. ❤️Jo Jo chez mentioned h description mein. Wo sb delivered hoi h😍💙']","Nokia C31 Smartphone with 6.75"" HD+ Display and 5050 mAh non-removable battery, 4GB RAM / 128GB ROM, Android 12 OS, 2 years quarterly security updates, 13MP triple rear and selfie cameras - PTA approved"
9,,10,,"Xiaomi Redmi Note 12 detailed specificationsBuildOSAndroid 13 OS UIMIUI 14 Dimensions165.7 x 76 x 7.9 mm Weight183 g SIMDual Sim, Dual Standby (Nano-SIM) ColorsOnyx Gray, Mint Green, Ice Blue Frequency2G BandSIM1: GSM 850 / 900 / 1800 / 1900
SIM2: GSM 850 / 900 / 1800 / 1900 3G BandHSDPA 850 / 900 / 1900 / 2100 4G BandLTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 40(2300), 41(2500) ProcessorCPUOcta-core (4 x 2.8 GHz Cortex-A73 + 4 x 1.9 GHz Cortex-A53) ChipsetQualcomm SM6225 Snapdragon 685 (6 nm) GPUAdreno 610 DisplayTechnologyAMOLED Capacitive Touchscreen, Multitouch Size6.67 Inches Resolution1080 x 2400 Pixels (~395 PPI) ProtectionCorning Gorilla Glass 3 Extra Features120Hz, 450 nits (typ), 700 nits (HBM), 1200 nits (peak) MemoryBuilt-in128GB Built-in, 8GB RAM, UFS 2.2 CardNo CameraMainTriple Camera: 50 MP, f/1.8, (wide), 1/2.76"", PDAF + 8 MP, f/2.2, (ultrawide), 1/4"" + 2 MP, f/2.4, (macro), LED Flash FeaturesGeo-tagging, Phase detection, touch focus, HDR, Panorama, Video (1080p@30fps) Front13 MP, f/2.5, (wide), 1/3.0"", HDR, Video (1080p@30fps) ConnectivityWLANWi-Fi 802.11 a/b/g/n/ac, dual-band Bluetoothv5.0 with A2DP, LE GPSYes + GPS, GLONASS RadioFM Radio (Unspecified) USBUSB Type-C 2.0, OTG NFCNo InfraredYes DataGPRS, Edge, 3G (HSPA 42.2/5.76 Mbps), 4G LTE-A FeaturesSensorsAccelerometer, Compass, Fingerprint (side-mounted), Gyro, Proximity Audio3.5mm Audio Jack, 24-bit/192kHz audio, Speaker Phone BrowserHTML5 MessagingSMS(threaded view), MMS, Email, Push Mail, IM GamesBuilt-in + Downloadable TorchYes ExtraIP53, dust and splash resistant, Photo/video editor, Document viewer BatteryCapacity(Li-Po Non removable), 5000 mAh - Fast charging 33W wired
Xiaomi Redmi Note 12 detailed specifications
Build OS Android 13 OS  
UI MIUI 14  
Dimensions 165.7 x 76 x 7.9 mm  
Weight 183 g  
SIM Dual Sim, Dual Standby (Nano-SIM)  
Colors Onyx Gray, Mint Green, Ice Blue  
Frequency 2G Band SIM1: GSM 850 / 900 / 1800 / 1900
SIM2: GSM 850 / 900 / 1800 / 1900  
3G Band HSDPA 850 / 900 / 1900 / 2100  
4G Band LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 40(2300), 41(2500)  
Processor CPU Octa-core (4 x 2.8 GHz Cortex-A73 + 4 x 1.9 GHz Cortex-A53)  
Chipset Qualcomm SM6225 Snapdragon 685 (6 nm)  
GPU Adreno 610  
Display Technology AMOLED Capacitive Touchscreen, Multitouch  
Size 6.67 Inches  
Resolution 1080 x 2400 Pixels (~395 PPI)  
Protection Corning Gorilla Glass 3  
Extra Features 120Hz, 450 nits (typ), 700 nits (HBM), 1200 nits (peak)  
Memory Built-in 128GB Built-in, 8GB RAM, UFS 2.2  
Card No  
Camera Main Triple Camera: 50 MP, f/1.8, (wide), 1/2.76"", PDAF + 8 MP, f/2.2, (ultrawide), 1/4"" + 2 MP, f/2.4, (macro), LED Flash  
Features Geo-tagging, Phase detection, touch focus, HDR, Panorama, Video (1080p@30fps)  
Front 13 MP, f/2.5, (wide), 1/3.0"", HDR, Video (1080p@30fps)  
Connectivity WLAN Wi-Fi 802.11 a/b/g/n/ac, dual-band  
Bluetooth v5.0 with A2DP, LE  
GPS Yes + GPS, GLONASS  
Radio FM Radio (Unspecified)  
USB USB Type-C 2.0, OTG  
NFC No  
Infrared Yes  
Data GPRS, Edge, 3G (HSPA 42.2/5.76 Mbps), 4G LTE-A  
Features Sensors Accelerometer, Compass, Fingerprint (side-mounted), Gyro, Proximity  
Audio 3.5mm Audio Jack, 24-bit/192kHz audio, Speaker Phone  
Browser HTML5  
Messaging SMS(threaded view), MMS, Email, Push Mail, IM  
Games Built-in + Downloadable  
Torch Yes  
Extra IP53, dust and splash resistant, Photo/video editor, Document viewer  
Battery Capacity (Li-Po Non removable), 5000 mAh  
- Fast charging 33W wired 
Specifications of Redmi Note 12 || 8GB Ram 128GB Rom || 6.67 Inches AMOLED Display || 5000 mAh - Fast charging 33W wired ||
Brand No Brand SKU 421271122_PK-1988956005 Protection Corning Gorilla Glass 3 Year 2020 Number Of Cameras 3
What’s in the box 1 Charging Adopter + 1 Data Cable + 1 Mobile Set + 1 User Manual
VIEW LESS","['Deliver on time good product 👍', 'Deliver on time good product 👍', 'Deliver on time good product 👍']",Redmi Note 12 || 8GB Ram 128GB Rom || 6.67 Inches AMOLED Display || 5000 mAh - Fast charging 33W wired ||
